"MSRB Number","Firm Name","EBS ID"
A7338,"REGULUS FINANCIAL GROUP, LLC",REGL
A1375,"TRUBEE WEALTH ADVISORS, INC.",TRUB
A7033,"ODEON CAPITAL GROUP LLC",ODNC
A5064,"CAPITAL INVESTMENT BROKERAGE, INC.",CAPB
A6695,"SAMCO CAPITAL MARKETS, INC.",SRAM
A0069,"AUSDAL FINANCIAL PARTNERS, INC.",RBAC
A6576,"GAR WOOD SECURITIES, LLC",GWDS
A2447,"MOMENTUM INDEPENDENT NETWORK INC.",BTSS
A6676,"FNBB CAPITAL MARKETS, LLC",FCML
A7531,"ROBERTSON STEPHENS CAPITAL MARKETS, LLC",RSCM
A7142,"MSEC, LLC",MTSL
A5238,"PORT SECURITIES, INC.",LEMM
A0682,"INSIGHT SECURITIES, INC.",HORW
A7495,"AMERICAN VETERANS GROUP, PBC",VETS
A5273,"KESTRA INVESTMENT SERVICES, LLC",PSII
A7541,"ALPHALEDGER MARKETS, INC",ALCM
A5959,"NATALLIANCE SECURITIES, LLC",NASC
A1039,"NEUBERGER BERMAN BD LLC",NEUB
A5351,"FEDERATED SECURITIES, INC.",FEDR
A1172,"RAYMOND JAMES & ASSOC., INC.",RJFI
A6776,"INTEGRITY ALLIANCE, LLC",BIFS
A0360,"DARWOOD ASSOCIATES, INC.",DARA
A6979,"CAPITAL SYNERGY PARTNERS, INC.",CSPI
A6138,"AON SECURITIES LLC",AONC
A3412,"SMH CAPITAL INVESTMENTS LLC",WRIS
A4199,"RIEDL FIRST SECURITIES CO. OF KANSAS",RIED
A3572,"LIBERTY CAPITAL INVESTMENT CORPORATION",PURP
A6032,"ROGAN & ASSOCIATES, INC.",ADSD
A4916,"CORINTHIAN PARTNERS, L.L.C.",CPRC
A6692,"FORTUNE SECURITIES, INC.",FRTN
A5240,"FROST BROKERAGE SERVICES, INC.",CUFT
A1329,"COLLIERS SECURITIES LLC",DOTC
A4890,"NORTHERN CAPITAL SECURITIES CORPORATION",NORC
A7630,"OPENYIELD TRADING LLC",OYLD
A4229,"BLEY INVESTMENT GROUP, INC.",BLEY
A4589,"UMB FINANCIAL SERVICES, INC.",UMBF
A5434,"ADVISORS ASSET MANAGEMENT, INC.",FISB
A7604,"TCBI SECURITIES INC.",TCBI
A4786,"UNITED BROKERAGE SERVICES, INC.",UBSI
A2602,"T ROWE PRICE INVESTMENT SERVICES, INC.",PICE
A7401,"WEALTHFRONT BROKERAGE LLC",WFBC
A1847,"U.S. BANCORP ADVISORS, LLC",MKTI
A2689,"STONEX SECURITIES INC.",STXW
A1091,"UBS FINANCIAL SERVICES",PWJC
A6962,"TD SECURITIES (USA) LLC",ECUT
A0758,"ARTHUR W WOOD COMPANY",WOOD
A6114,"IBN FINANCIAL SERVICES, INC.",MRBA
A7428,"PAULSON INVESTMENT LLC",PAUL
A5582,"FINANCIAL SENSE SECURITIES, INC.",PUPL
A4571,"GREAT AMERICAN INVESTORS, INC.",GAII
A0862,"RF LAFFERTY AND CO., INC.",LAFF
A5508,"MIDWESTERN SECS TRADING CO LLC",MSTC
A7502,"KINGSWOOD CAPITAL PARTNERS, LLC",KNGW
