"MSRB Number","Firm Name","EBS ID"
A0727,"ISAAK BOND INVESTMENTS, INC.",IAAK
A4768,"TECKMEYER FINANCIAL SERVICES",TFSL
A3373,"SIGNAL SECURITIES, INC.",SGNL
A6429,"CANTOR FITZGERALD & CO.",CFCO
A6536,"WORTH FINANCIAL GROUP, INC.",ACCI
A7464,"ZEUS FINANCIAL, LLC",ZEUS
A7039,"VALOR FINANCIAL SECURITIES LLC",VFSL
A4865,"EFG CAPITAL INTERNATIONAL CORP",EFGC
A6906,"BLAYLOCK VAN, LLC",BRVL
A6134,"UNION CAPITAL COMPANY",IVOL
A7407,"CARNES CAPITAL CORPORATION",CCCO
A1768,"SYCAMORE FINANCIAL GROUP",SCYA
A6071,"WOODMEN FINANCIAL SERVICES, INC.",WFSS
A6968,"ALEXANDER CAPITAL, L.P.",ACLN
A7480,"ICE BONDS SECURITIES CORPORATION",TMCC
A4529,"CARDINAL INVESTMENTS, INC.",CRDL
A0232,"CAPE SECURITIES, INC.",CAPE
A1562,"NATIONAL FINANCIAL SERVICES LLC",NFSC
A7653,"WEBULL FINANCIAL LLC",WBUL
A6871,"AW SECURITIES",HMRN
A6983,"PENSERRA SECURITIES LLC",PNSA
A5316,"HERNDON PLANT OAKLEY LTD.",HPOL
A6288,"SECURITIES MANAGEMENT RESEARCH, INC.",SMRI
A6703,"MADISON AVENUE SECURITIES",MAVS
A1887,"R. SEELAUS & CO., LLC",SEEL
A6341,"PERSHING ADVISOR SOLUTIONS LLC",PASL
A4749,"SHEARSON FINANCIAL SERVICES LLC",LFRO
A4978,"J ALDEN ASSOCIATES",JADN
A1000,"MONNESS, CRESPI, HARDT & CO.,",MWCC
A3290,"DOMINARI SECURITIES LLC",DOMS
A0255,"CENTENNIAL SECURITIES CO., INC",CTNL
A5618,"BROAD STREET CAPITAL MARKETS LLC",ADFG
A7099,"CREATIVEONE SECURITIES, LLC",COSL
A2132,"CETERA INVESTMENT SERVICES LLC",BANK
A7641,"CADZ SECURITIES INC",CADZ
A6438,"TITLEIST CAPITAL, LLC",TITL
A5446,"SILVER OAK SECURITIES, INCORPORATED",HOPK
A7120,"MCLAUGHLIN RYDER INVESTMENTS, INC.",ZAND
A0980,"MESIROW FINANCIAL INC",MSRO
A1303,"STEPHENS INC.",SPHN
A7623,"IUR SECURITIES LLC",IURS
A0877,"B. RILEY WEALTH MANAGEMENT",VFIN
A5141,"JH DARBIE & CO., INC.",JDRB
A6808,"AVENTURA SECURITIES, LLC",AVEW
A6298,"BACKSTROM MCCARLEY BERRY & CO., LLC",BMCB
A6687,"MCDONALD PARTNERS, LLC",TMCD
A6950,"HIGHTOWER SECURITIES, LLC",HTPS
A1819,"GILL CAPITAL PARTNERS, LLC",GLLL
A6672,"AMERICAN INDEPENDENT SECURITIES GRP,LLC",AISG
A2800,"FIRST WESTERN SECURITIES, INC.",FWSI
A6847,"QUOIN CAPITAL LLC",QUOI
A2742,"VALLEY NATIONAL INVESTMENTS",VALI
A4039,"COMMERCE BROKERAGE SERVICES, INC",CMCE
A1898,"CETERA FINANCIAL SPECIALISTS LLC",TERA
A1306,"STERLING, GRACE MUNICIPAL SEC.",STGC
A7480,"ICE BONDS SECURITIES CORPORATION",VABD
A3445,"BEECH HILL SECURITIES",CWEI
A7346,"COPPER FINANCIAL",CAFS
A5948,"AXOS CLEARING LLC",LGNT
A7477,"B. RILEY SECURITIES, INC.",RILY
A6568,"BETA CAPITAL SECURITIES LLC",BCWM
A7655,"BALANZ CAPITAL USA LLC",BLNZ
A0786,"JKR & CO., INC.",JKRC
A7417,"JOSEPH STONE CAPITAL, LLC",JSCL
A5798,"MUTUAL OF OMAHA INVESTOR SERVICES, INC.",MOIS
A2649,"LARIMER CAPITAL CORPORATION",LARC
A5185,"SEI INVESTMENTS DISTRIBUTION CO",SEIC
A7519,"BOFA SECURITIES, INC.",MLCO
A5948,"AXOS CLEARING LLC",CORR
A0859,"LASALLE ST. SECURITIES, LLC",LASS
A6234,"PTS BROKERAGE, LLC",PTSB
A4303,"GREAT PACIFIC SECURITIES",GPSS
A6158,"AMERICAN CENTURY INVESTMENT SERVICES, INC.",ACBD
A0869,"DEUTSCHE BANK SECURITIES INC.",DBPC
A6781,"GLOBALINK SECURITIES, INC",PSRI
A5803,"VISION BROKERAGE SERVICES, LLC",VBSL
A1137,"E. E. POWELL & COMPANY",POWL
A3814,"BREAN CAPITAL, LLC.",BMUR
A1038,"NESTLERODE & LOY, INC.",NSRD
A5250,"KOVACK SECURITIES, INC.",KOVP
A5315,"GLADOWSKY CAPITAL MGMT. CORP.",GCMC
A7097,"MARKETAXESS CORPORATION",MKTX
A1006,"THE GMS GROUP, LLC",GMSG
A7053,"WELLINGTON SHIELDS & CO., LLC",WESC
A7339,"DFPG INVESTMENTS LLC",DFPG
A6392,"DINOSAUR FINANCIAL GROUP, LLC",ROAR
A6432,"GLEN EAGLE WEALTH, LLC",QBSI
A0079,"ROBERT W BAIRD & CO., INC.",BARD
A5399,"GARDEN STATE SECURITIES, INC.",GSSI
A7115,"DREXEL HAMILTON, LLC",DRXL
A6708,"KEY INVESTMENT SERVICES LLC",KISL
A1806,"MUTUAL SECURITIES, INC.",CBOL
A1765,"BERTHEL FISHER & CO.FIN.SERV.",BFFI
A5773,"TRADEWEB DIRECT LLC",TWDP
A0105,"J.P. MORGAN SECURITIES LLC",BEST
A6963,"BENJAMIN F. EDWARDS & COMPANY",BFEC
B0360,"FIRST NATIONAL BANKERS BANK",FNBB
A6805,"ALLEN, MOONEY & BARNES BROKERAGE SERVICES, LLC",AMBB
A7612,"PRIMERICA BROKERAGE SERVICES, INC.",PBSI
A7644,"BLUEFIN CAPITAL MANAGEMENT, LLC",BFCM
A7465,"MIRAE ASSET SECURITIES (USA) INC.",MIRA
A6505,"GWN SECURITIES, INC.",GWNS
A5571,"USCA SECURITIES LLC",USCA
A6970,"SABADELL SECURITIES USA, INC.",SABS
A1399,"VBC SECURITIES LLC",VBCS
A1761,"NETWORK 1 FINANCIAL SECURITIES",NTFN
A4099,"HUNTER ASSOCIATES, LLC",HNTR
A0836,"CL KING AND ASSOCIATES, INC.",KING
A6575,"MODERN CAPITAL SECURITIES INC.",WEGP
A6485,"CHICKASAW SECURITIES, LLC",CHCK
A7590,"AQUAS FINANCIAL LLC",DLPS
A6439,"CAPFINANCIAL SECURITIES LLC",CAPP
A0118,"BENJAMIN SECURITIES, INC.",BENJ
A4603,"BOLTON GLOBAL CAPITAL",RAYG
B0475,"U.S. BANK MUNICIPAL PRODUCTS GROUP",CMMB
A5177,"NATIONS FINANCIAL GROUP, INC.",NFGR
A6577,"AOS, INC.",AOSC
A1492,"SMITH, MOORE AND COMPANY",SMCO
A7129,"GLENDALE SECURITIES, INC.",GLED
A5262,"LEERINK PARTNERS LLC",LEER
A6945,"LIVINGSTON SECURITIES, LLC",LSEC
A5638,"M.S. HOWELLS & CO.",HWLS
A7536,"ICE SECURITIES EXECUTION & CLEARING, LLC",ICEX
A3238,"CREDIT AGRICOLE SECURITIES (USA) INC.",LYON
A6523,"AMERANT INVESTMENTS, INC.",CICI
A4565,"ST. BERNARD FINANCIAL SERVICES, INC.",KEEN
A2080,"INVESTORS BROKERAGE OF TEXAS, LTD.",IBOT
A5779,"PTI SECURITIES & FUTURES, L.P.",PTIS
A4258,"RBC CAPITAL MARKETS, LLC",RBCR
A2021,"CETERA ADVISORS, LLC",MULT
A6432,"GLEN EAGLE WEALTH, LLC",GEAL
A6370,"PLACE TRADE FINANCIAL, INC.",PLTF
A6333,"SHAREHOLDERS SERVICE GROUP, LLC",SSGR
A7296,"EMPIRE STATE FINANCIAL, INC.",HAVK
A2748,"TRUIST INVESTMENT SERVICES, INC.",SSIN
A7658,"C&C TRADING LLC",XCNC
A7506,"NATIONAL BANK OF CANADA FINANCIAL INC.",NBFI
A5111,"SOUTHEAST INVESTMENTS, N.C. INC.",SEFB
A7268,"TCFG WEALTH MANAGEMENT, LLC",TCFG
A4470,"CABRERA CAPITAL MARKETS, LLC",CABA
A4502,"LENOX FINANCIAL SERVICES, INC.",LENX
A6897,"CASTLEOAK SECURITIES, LP",COAK
A7327,"STONEX FINANCIAL INC.",IFCS
A6210,"VESTECH SECURITIES, INC.",VEST
A3528,"STARK FINANCIAL INDUSTRIES, LLC",SPSR
A7638,"MARIVA CAPITAL MARKETS, LLC",BMSA
A7538,"IFP SECURITIES, LLC",IFPS
A6306,"J.W. COLE FINANCIAL, INC.",JWCF
A4685,"BNY MELLON CAPITAL MARKETS, LLC",BKCM
A7582,"FNB AMERICA SECURITIES LLC",FNBA
A1037,"MARTIN NELSON & CO., INC.",MNCO
A4382,"HARVESTONS SECURITIES, INC.",HARS
A7563,"AXOS INVEST LLC",WISE
A5644,"TRADITION SECURITIES AND DERIVATIVES LLC",TFAS
A1893,"MML INVESTORS SERVICES, LLC",GRPS
A4258,"RBC CAPITAL MARKETS, LLC",DCSD
A7419,"INSTITUTIONAL BOND NETWORK LLC.",IBND
A5924,"PARKLAND SECURITIES, LLC",SMNS
A7448,"HONEY BADGER INVESTMENT SECURITIES, LLC",HBMS
A6750,"COLORADO FINANCIAL SERVICE CORP.",COFS
A1194,"VANDERBILT SECURITIES, LLC",VBLT
A4075,"NANCY BARRON & ASSOCIATES INC.",NBAR
A5343,"BRINKER CAPITAL SECURITIES, LLC",BRNK
B0300,"ZIONS BANCORPORATION, N.A /MSD",ZFNB
A6731,"LEBENTHAL FINANCIAL SERVICES, INC.",BRFI
A7139,"GRADIENT SECURITIES, LLC",GRAD
A0377,"HC DENISON COMPANY",DENI
A2908,"SANDERS MORRIS LLC",SMHI
A3302,"FINANCIAL NORTHEASTERN SEC.INC",FNSJ
A3567,"LUMENT SECURITIES, LLC",PSIN
A7655,"BALANZ CAPITAL USA LLC",BZCP
A4700,"BOK FINANCIAL SECURITIES, INC.",BOKI
A0775,"BC ZIEGLER AND COMPANY",BCZC
A7115,"DREXEL HAMILTON, LLC",DREX
A1039,"NEUBERGER BERMAN BD LLC",NBLB
B0358,"FROST BANK CAPITAL MARKETS",FROS
A1475,"MURIEL SIEBERT & CO., LLC",SBRX
A7285,"TD PRIVATE CLIENT WEALTH LLC",TDPW
A4970,"GLOBAL BROKERAGE SERVICES, INC",GSBI
A6984,"ATIS, INC.",JEVO
A6392,"DINOSAUR FINANCIAL GROUP, LLC",TREX
A5074,"SIEBERT WILLIAMS SHANK & CO., LLC",SBSC
A3188,"CONSOLIDATED FINANCIAL INVESTMENTS, INC.",CFII
A3616,"BLAKESLEE & BLAKESLEE INC.",EDSB
A0304,"CONNERS & CO., INC.",CONR
A1715,"SYNOVUS SECURITIES INC.",CBTD
A6560,"GRB FINANCIAL, LLC",GRBF
A0748,"SOUTHSTATE SECURITIES CORP.",STSC
A1893,"MML INVESTORS SERVICES, LLC",MSII
A4652,"MISCHLER FINANCIAL GROUP, INC.",MFGX
A7472,"FIRST SOUTHERN, LLC,",ESHC
A5916,"SAXONY SECURITIES, INC.",SAXO
A0706,"INGALLS & SNYDER LLC",INGS
A6087,"GENEOS WEALTH MANAGEMENT, INC.",GENW
A1287,"JD SEIBERT & COMPANY, INC.",SEIB
A4454,"ABACUS INVESTMENTS, INC.",ABAI
A6841,"N.E. PRIVATE CLIENT, LTD.",NEPP
A5859,"FELDSTEIN FINANCIAL GROUP, LLC",FFGI
A3985,"GRODSKY ASSOCIATES, INC.",GROD
A1519,"GIT INVESTMENT SERVICES, INC.",GIMM
A0097,"BARRETT & COMPANY",BARR
A5021,"OBERWEIS SECURITIES, INC.",OBWS
A0777,"ZIV INVESTMENT COMPANY",ZIVI
A6440,"KCD FINANCIAL, INC.",KCDF
A5618,"BROAD STREET CAPITAL MARKETS LLC",BSCM
A6153,"NATIONWIDE SECURITIES, LLC",SEVN
A6566,"BARCLAYS CAPITAL INC.",BWEL
A7440,"FLOW TRADERS U.S., LLC",FLTG
A3977,"BELLE HAVEN INVESTMENTS, L.P.",BHII
A6566,"BARCLAYS CAPITAL INC.",BCLE
A3831,"TRANSAMERICA FINANCIAL ADVISORS, LLC",TFAI
A7619,"PAR5 CAPITAL & CO LLC",PARV
A6154,"MAXIM GROUP LLC",MAXM
A1573,"T.R. WINSTON & COMPANY, LLC",TRWN
A7334,"MILLENNIUM ADVISORS LLC",MADV
A6356,"HORACE MANN INVESTORS, INC.",MANN
A5759,"USA FINANCIAL SECURITIES, LLC",USAF
A5772,"CFD INVESTMENTS, INC.",CFDI
A6534,"WEALTH ENHANCEMENT BROKERAGE SERVICES, LLC",WEBS
A5214,"MEMPHIS CAPITAL",SIII
A7126,"SUMRIDGE PARTNERS, LLC",SMRD
A5444,"SECURITIES EQUITY GROUP",DOVE
A5836,"U.S. BROKERAGE, INC.",USDB
A0869,"DEUTSCHE BANK SECURITIES INC.",DBKS
A4047,"CONTINENTAL INVESTOR SERVICES",CONT
A2690,"EQUITABLE ADVISORS LLC.",EQHA
A0137,"PROSPERA FINANCIAL SERVICES, INC.",ADSS
A2796,"RHODES SECURITIES, INC.",RHDS
A6223,"ETICO PARTNERS, LLC",MJWH
A1313,"STIFEL, NICOLAUS & COMPANY,INC",FINF
A6386,"STATE FARM VP MANAGEMENT CORP.",SFVP
A0976,"MERRILL LYNCH, PIERCE, FENNER",MLMA
A1214,"ROMANO BROTHERS & COMPANY",ROMO
B0470,"SOUTH STATE BANK NA",CSFL
A7087,"PRIVATE PORTFOLIO OF SAN DIEGO, INC.",PRPO
A4973,"SANTANDER SECURITIES LLC",SSPB
B0270,"TIB, N.A.",TIBD
A2362,"BROOKLIGHT PLACE SECURITIES, INC.",MTLE
A0196,"BROWN, LISLE/CUMMINGS, INC.",BRLI
A6248,"ESSEX SECURITIES LLC",BJCM
A2938,"GUZMAN & COMPANY",GZML
B0510,"BRYANT BANK CAPITAL MARKETS DIVISION",BBCM
A0277,"ASSOCIATED INVESTMENT SERVICES",ASOI
A7614,"TRB CAPITAL MARKETS, LLC",HINO
A7506,"NATIONAL BANK OF CANADA FINANCIAL INC.",PTLV
A4144,"PRINCIPAL SECURITIES, INC.",PSIM
A0877,"B. RILEY WEALTH MANAGEMENT",NAPK
A7349,"BOREAL CAPITAL SECURITIES, LLC",MORA
A7547,"UNITED FIRST PARTNERS LLC",UFPA
B0171,"UNITED BANKERS' BANK",UBKR
A5779,"PTI SECURITIES & FUTURES, L.P.",PTIX
A5754,"RICHARD BROTHERS SECURITIES",ACLC
A3686,"ALAMO CAPITAL",ACAP
A3836,"LOMBARD SECURITIES INC.",LOMB
A7258,"ALLIED MILLENNIAL PARTNERS, LLC",LSSI
A7211,"DEALERWEB LLC",RCML
A0036,"AMERICAN INVESTORS COMPANY",AMIC
A4418,"SMBC NIKKO SECURITIES AMERICA, INC.",SUMI
A6518,"KEEL POINT CAPITAL, LLC",ITFS
A4131,"ANDREW GARRETT INC.",ANDG
A4166,"NYLIFE SECURITIES LLC",NYLS
A5227,"ONEAMERICA SECURITIES, INC.",AULC
A6834,"SUNSTREET SECURITIES, LLC",SUST
A3249,"OSAIC WEALTH, INC.",ROYL
A6753,"FIRST ASSET FINANCIAL INC.",FAFI
A1475,"MURIEL SIEBERT & CO., LLC",MSBT
A1436,"WEDBUSH SECURITIES INC.",WSGD
A2912,"CALTON & ASSOCIATES, INC.",CALT
A0631,"HAZARD & SIEGEL, INC.",CLHS
A4421,"OSAIC INSTITUTIONS, INC.",CTAS
A6755,"COUNTRY CAPITAL MANAGEMENT COMPANY",TOWA
A5276,"CENTAURUS FINANCIAL, INC.",CNFI
A7236,"BROWNSTONE INVESTMENT GROUP, LLC",BIGP
A0147,"WILLIAM BLAIR & COMPANY, L.L.C.",WBLR
A5232,"JEFFERIES LLC",JEFF
A7562,"ALTRUIST FINANCIAL LLC",ALTR
A6427,"INDEPENDENCE CAPITAL CO., INC.",ICCI
A7363,"FHN FINANCIAL SECURITIES CORP",FTSC
A0028,"ME ALLISON & CO., INC.",MEAL
A6962,"TD SECURITIES (USA) LLC",TDSI
A7019,"CEROS FINANCIAL SERVICES, INC.",CFSI
A1313,"STIFEL, NICOLAUS & COMPANY,INC",FESI
A4549,"PURSHE KAPLAN STERLING INVESTMENTS",SARG
A1436,"WEDBUSH SECURITIES INC.",WSIW
A3870,"OAK TREE SECURITIES, INC.",OTSB
A2359,"STURGES COMPANY (THE)",TSCD
A7429,"SOVEREIGN GLOBAL ADVISORS, LLC",SOVG
A5564,"RBC SECURITIES, INC.",CNSI
A5733,"VALLEY FINANCIAL MANAGEMENT, INC.",LISI
A7506,"NATIONAL BANK OF CANADA FINANCIAL INC.",NBKT
A6862,"SPIRE SECURITIES, LLC",SPLD
A7140,"CENTRAL STATES CAPITAL MARKETS, LLC",CSCM
A3338,"WILSON-DAVIS & CO., INC.",WDCO
A6101,"THOMPSON DAVIS & CO. INC.",TDCO
A7044,"VECTORGLOBAL WMG",VMEX
A5142,"UHLMANN PRICE SECURITIES, LLC",UHLM
A7272,"APEX CLEARING CORPORATION",PFCL
A4779,"1ST DISCOUNT BROKERAGE, INC.",FDSC
A5250,"KOVACK SECURITIES, INC.",KOVS
A3419,"PENROD FINANCIAL SERVICES, INC",PENC
A6727,"FOUNDERS FINANCIAL SECURITIES, LLC",FFSE
A5476,"SG LONG & COMPANY",SGLC
A7440,"FLOW TRADERS U.S., LLC",FTRD
A7673,"MAREX CAPITAL MARKETS INC.",CCMB
A1776,"SEARLE & CO.",SERL
A6645,"OSAIC SERVICES, INC.",RIAP
A7579,"INSPEREX LLC",TWOS
A7327,"STONEX FINANCIAL INC.",FCST
A0654,"NORTHERN TRUST SECURITIES, INC.",NTRC
A4820,"GUGGENHEIM FUNDS DISTRIBUTORS, LLC.",CLYM
A4441,"SIGMA FINANCIAL CORPORATION",SGFC
A5503,"APW CAPITAL, INC.",CAMS
A7408,"CRAFT CAPITAL MANAGEMENT LLC",CCMM
A6230,"WESTERN GROWERS FINANCIAL SERVICES",WEST
A2938,"GUZMAN & COMPANY",GUZM
A7394,"MIZUHO SECURITIES USA LLC",MZHO
A3898,"FIRST TRUST PORTFOLIOS L.P.",FTLP
A6419,"TP ICAP GLOBAL MARKETS AMERICAS LLC",PATR
A0877,"B. RILEY WEALTH MANAGEMENT",FUND
A1249,"SAGE, RUTTY & CO., INC.",SAGE
A3089,"MIDDLEGATE SECURITIES INC",MIDL
A6392,"DINOSAUR FINANCIAL GROUP, LLC",RPTR
A6392,"DINOSAUR FINANCIAL GROUP, LLC",DINO
A4981,"HEIM, YOUNG & ASSOCIATES, INC.",HYSI
A6400,"NEWOAK CAPITAL MARKETS LLC",NEWO
A1126,"PIPER SANDLER & CO.",SDLR
A5843,"PACKERLAND BROKERAGE SERVICES",PACK
A5773,"TRADEWEB DIRECT LLC",BDDK
A6566,"BARCLAYS CAPITAL INC.",BCAP
A0193,"SMITH, BROWN AND GROOVER, INC.",SGBI
A1272,"GREGORY J SCHWARTZ & CO., INC.",GJSS
A5773,"TRADEWEB DIRECT LLC",JJKE
A7043,"HARBOR INVESTMENT ADVISORY LLC",HIAL
A1145,"LPL FINANCIAL LLC",YLPL
A0231,"CAPITAL MANAGEMENT SECURITIES,",CMSI
A5139,"LOOP CAPITAL MARKETS, L.L.C.",LOOP
A4590,"R.M. STARK & CO., INC.",RMST
A7303,"FALCON SQUARE CAPITAL, LLC",FALC
A6990,BROKERAGESELECT,IDAY
A1271,"CHARLES SCHWAB & CO., INC.",CHAS
A6366,"WELLS FARGO SECURITIES, LLC",WFIS
A3490,"AEGIS CAPITAL CORP.",AGIS
A6419,"TP ICAP GLOBAL MARKETS AMERICAS LLC",CHPP
A2986,"MAINE SECURITIES CORPORATION",MSCB
A7401,"WEALTHFRONT BROKERAGE LLC",WLTH
A3831,"TRANSAMERICA FINANCIAL ADVISORS, LLC",INSC
A5865,"STATETRUST INVESTMENTS, INC.",STTT
A0400,"DORN & CO., INC.",DORN
A7202,"CONCORDE INVESTMENT SERVICES LLC",CNCD
A0024,"ALLEN & COMPANY LLC",ALLN
A7411,"MONERE INVESTMENTS, INC.",MONE
A6935,"MAINLINE WEST MUNICIPAL SECURITIES, LLC",MLMS
A6918,"PINNACLE INVESTMENTS LLC",PINA
A7606,"ELEQUIN SECURITIES, LLC",ELEQ
A7033,"ODEON CAPITAL GROUP LLC",ODEO
A0105,"J.P. MORGAN SECURITIES LLC",CHSI
A4421,"OSAIC INSTITUTIONS, INC.",OSIC
A0850,"HUNTLEIGH SECURITIES CORPORATION",HUNT
A7621,"M STEVENS SECURITIES, LLC",MSTV
A7594,"GREAT POINT CAPITAL, LLC",MAVB
A5490,"LANDAAS & COMPANY",LDAS
A4434,"CASCADE INVESTMENT GROUP, INC.",BJRC
A2125,"BROWN & BROWN SECURITIES, INC.",BRBR
A0632,"HAZLETT, BURT & WATSON, INC.",HAZL
A5647,"SUPERIOR FINANCIAL SERVICES, INC.",SFSI
A7028,"PARITER SECURITIES, LLC",FJRF
A7406,"TRIBAL CAPITAL MARKETS, LLC",TRIB
A6815,"VISION FINANCIAL MARKETS LLC",VSIN
A0877,"B. RILEY WEALTH MANAGEMENT",WUND
A2091,"PNC CAPITAL MARKETS LLC",PNCM
A7019,"CEROS FINANCIAL SERVICES, INC.",CERS
A5820,"MWA FINANCIAL SERVICES, INC.",MWAF
A4676,"ASHTON THOMAS SECURITIES, LLC.",EXCS
A6038,"LAIDLAW AND COMPANY, UK, LTD",LDLW
A6180,"MCNALLY FINANCIAL SERVICES CORPORATION",MCNA
A6362,"AVISEN WEALTH MANAGEMENT, INC.",AVIS
A6579,"HENLEY & COMPANY LLC",HENY
A0085,"BCG SECURITIES, INC.",BCGS
A1349,"LO THOMAS & CO., INC.",LOTC
A5098,"WESBANCO SECURITIES, INC.",CBII
A7142,"MSEC, LLC",MSEC
A7502,"KINGSWOOD CAPITAL PARTNERS, LLC",KWUS
A3378,"O.N. EQUITY SALES COMPANY",ONES
A2353,"WELLS FARGO ADVISORS FINANCIAL NETWORK, LLC",FNET
A7442,"MCAP LLC",MCAP
A0576,"GOLDMAN SACHS & CO. LLC",GSCO
A2178,"STERN BROTHERS & CO.",SBRO
A5468,"GIRARD INVESTMENT SERVICES, LLC",FNPN
A2781,"CNR SECURITIES LLC",ROCM
A7353,"TD FINANCIAL PRODUCTS LLC",HEAD
A6137,"NORTHWEST INVESTMENT ADVISORS, INC.",NWIA
A4637,"VALDES & MORENO, INC.",TORO
A5325,"CORECAP INVESTMENTS, LLC",WISC
A5316,"HERNDON PLANT OAKLEY LTD.",HPOM
A4831,"CELADON FINANCIAL GROUP, LLC",CLDN
A1729,"HORNOR, TOWNSEND & KENT, LLC",HOTO
A3600,"CRESAP, INC.",CSAP
A1809,"BEACONSFIELD FINANCIAL SERVICES, INC.",BEAF
B0429,"CENTRAL TRUST BANK",CTBK
A5773,"TRADEWEB DIRECT LLC",TWDI
A0333,"CREWS & ASSOCIATES, INC.",CREW
A3574,"HENNION & WALSH INC.",NHWI
A0695,"FIRST HONOLULU SECURITIES, INC",FHON
A4993,"FIRST TRYON SECURITIES, LLC",TRYN
A6645,"OSAIC SERVICES, INC.",RIAN
A2912,"CALTON & ASSOCIATES, INC.",CLTN
A6627,"HERITAGE FINANCIAL SYSTEMS, LLC",HFSB
A5676,"WHITE MOUNTAIN CAPITAL, LLC",WMCL
A3315,"TRUSTMONT FINANCIAL GROUP, INC.",CFGM
A4743,"DM KELLY & COMPANY",DMKC
A0136,"JAMES I BLACK & COMPANY",BLCK
A0174,"BRIGHTON SECURITIES CORP.",BGHT
A3741,"WELLS FARGO CLEARING SERVICES, LLC",WRET
A7629,"MOMENT MARKETS LLC",MMNT
A7634,"LAMPERT CAPITALS MARKET, INC.",LPCM
A1673,"CETERA WEALTH SERVICES, LLC",FNIC
A3249,"OSAIC WEALTH, INC.",RAAI
A0887,"DAVID LERNER ASSOCIATES, INC.",DLAI
A0137,"PROSPERA FINANCIAL SERVICES, INC.",ADSO
A1877,"FIRST LIBERTIES FINANCIAL",FLIB
A0643,"CARL M HENNIG, INC.",HENN
A3116,"CARTER, TERRY & COMPANY, INC.",CATE
A5991,"SCOTTSDALE CAPITAL ADVISORS",JOHN
A5644,"TRADITION SECURITIES AND DERIVATIVES LLC",ASEL
A4820,"GUGGENHEIM FUNDS DISTRIBUTORS, LLC.",GUGI
A0105,"J.P. MORGAN SECURITIES LLC",FSRP
A5402,"TRADE-PMR, INC.",TPMR
A7677,"JANE STREET EXECUTION SERVICES, LLC",JSEB
A5045,"A.G.P. / ALLIANCE GLOBAL PARTNERS CORP.",ALNC
A7412,"BANKERS LIFE SECURITIES INC.",BALI
A6646,"ANOVEST FINANCIAL SERVICES, INC.",ANOV
A5497,"THOROUGHBRED FINANCIAL SERVICES, LLC",TBRD
A7633,"SUPREME ALLIANCE LLC",SALL
A5738,"MUNICIPAL CAPITAL MARKETS GROUP, INC.",MCMG
A6392,"DINOSAUR FINANCIAL GROUP, LLC",DNSR
A0877,"B. RILEY WEALTH MANAGEMENT",BRWM
A7033,"ODEON CAPITAL GROUP LLC",ODCO
A1313,"STIFEL, NICOLAUS & COMPANY,INC",SPAC
A0682,"INSIGHT SECURITIES, INC.",ISSI
A0149,"STEWARD PARTNERS INVESTMENT SOLUTIONS, LLC",SPGA
A0563,"HSBC SECURITIES (USA) INC.",HSBM
A7241,"SECURITY CAPITAL BROKERAGE, INC.",SCTI
A6852,"EMPIRE ASSET MANAGEMENT COMPANY",EAMC
A5361,"HOLISTIC BROKERAGE, LLC.",HBUS
A6962,"TD SECURITIES (USA) LLC",TDPA
A1313,"STIFEL, NICOLAUS & COMPANY,INC",VSLP
A3104,"VANGUARD MARKETING CORPORATION",VGRD
A7574,"BANORTE SECURITIES INTERNATIONAL LTD",BNTE
A4973,"SANTANDER SECURITIES LLC",SSNE
A3509,"MIDLAND SECURITIES, LTD.",WACC
A4785,"CAMBRIDGE INVESTMENT RESEARCH",CIRI
A0692,"WINTRUST INVESTMENTS, LLC",WAYN
A6107,"ALIGHT FINANCIAL SOLUTIONS LLC",NHFS
A2176,"PACIFIC INVESTMENT SECS. CORP.",PISC
A7023,"PRIVATE CLIENT SERVICES, LLC",PCSB
A6980,"ETC BROKERAGE SERVICES, LLC",INNO
A6962,"TD SECURITIES (USA) LLC",TDNF
A6803,"ALLY INVEST SECURITIES LLC",TKNG
A7042,"STONECASTLE SECURITIES, LLC",SCSS
A7492,"AMERIVET SECURITIES, INC",AVSI
A0877,"B. RILEY WEALTH MANAGEMENT",NATL
A7449,"APEXUS CAPITAL LLC",APXS
A6962,"TD SECURITIES (USA) LLC",COWR
A0806,"KAHN BROTHERS LLC",KBCO
A1007,"MOORS & CABOT, INC.",MCBT
A0105,"J.P. MORGAN SECURITIES LLC",BSSC
A7482,"LINDEN THOMAS AND COMPANY SECURITIES, LLC",LTCS
A0137,"PROSPERA FINANCIAL SERVICES, INC.",CUTW
A7479,"BANCROFT CAPITAL, LLC",VTRN
A4008,"CAPITAL PORTFOLIO MANAGEMENT, INC",CPMI
A7484,"REVL SECURITIES LLC",REVL
A7576,"CINCAP INVESTMENT GROUP, LLC",CCIG
A7334,"MILLENNIUM ADVISORS LLC",MILN
A6885,"BONDS.COM, LLC",BNDS
A2246,"RW SMITH & ASSOCIATES, LLC",RWSM
A3840,"CHAPIN DAVIS, INC.",CHDA
A6524,"EMERSON EQUITY LLC",EMER
A5341,"TIAA -CREF INDIVDL INST'L SVCS, LLC",CREF
A7579,"INSPEREX LLC",SPEX
A5030,"ARVEST WEALTH MANAGEMENT",ARVS
A5773,"TRADEWEB DIRECT LLC",TWDL
A5930,"THE LEADERS GROUP, INC.",LEAD
A5732,"SANDERLIN SECURITIES LLC",SSLC
A0799,"EDWARD JONES",EDJO
