Timestamp,check,status,details
2026-04-01T06:09:34.400531,Schema Validation,PASSED,All 4 columns present
2026-04-01T06:09:34.400531,Row-Level Validation,FAILED,Row validation failed: 44 error(s) in 43 row(s)
2026-04-01T06:09:34.400531,Uniqueness: MSRB ID,PASSED,All values unique
