Firm Name,MSRB ID,State,Registrant Type
"McDonald Partners, LLC",A6687,OH,Broker Dealer
"Leo Brokerage, LLC",A6253,TX,Broker Dealer
Purshe Kaplan Sterling Investments,A4549,NY,Broker Dealer
Cetera Investment Services LLC,A2132,MN,Broker Dealer
"THURSTON, SPRINGER, MILLER, HERD & TITAK, INC.",A1355,IN,Broker Dealer
"Great American Investors, Inc.",A4571,KS,Broker Dealer
Newbridge Securities Corporation,A5833,FL,Broker Dealer
"SF Investments, Inc.",A1330,IL,Broker Dealer
"Bancroft Capital, LLC",A7479,PA,Broker Dealer
Atomic Brokerage LLC,A7609,NY,Broker Dealer
"EMPIRE STATE FINANCIAL, INC.",A7296,NY,Broker Dealer
"Keel Point Capital, LLC",A6518,AL,Broker Dealer
"Guggenheim Funds Distributors, LLC.",A4820,IL,Broker Dealer
"Halliday Financial, LLC",A6580,NY,Broker Dealer
ARK Global LLC,A7413,NY,Broker Dealer/Municipal Advisor
"Franklin Distributors, LLC",A6707,CA,Broker Dealer
"Mainline West Municipal Securities, LLC",A6935,CO,Broker Dealer
"Harvestons Securities, Inc.",A4382,CO,Broker Dealer
The Strategic Alliance Corporation,A4369,NC,Broker Dealer
"Trade-PMR, Inc.",A5402,FL,Broker Dealer
"Pioneer Capital Markets, Inc",A7669,NC,Broker Dealer
Tradeweb LLC,A6797,NY,Broker Dealer
"GBS Retirement Services, Inc.",A6363,IL,Broker Dealer
"Titleist Capital, LLC",A6438,TX,Broker Dealer
Alight Financial Solutions LLC,A6107,NC,Broker Dealer
"US Securities Int'l, Corp",A3712,NY,Broker Dealer
"Nationwide Planning Associates, Inc",A6103,NJ,Broker Dealer
"RNR Securities, L.L.C.",A6002,NY,Broker Dealer
"R.M. Duncan Securities, Inc.",A3333,AR,Broker Dealer
Morgan Stanley & Co. LLC,A1012,NY,Broker Dealer
"LIDO SECURITIES, LLC",A7675,TX,Broker Dealer
Fidelity Distributors Company LLC,A5752,RI,Broker Dealer
Cabot Lodge Securities LLC,A7244,IL,Broker Dealer
"Northland Securities, Inc.",A4861,MN,Broker Dealer/Municipal Advisor
Par5 Capital & Co LLC,A7619,FL,Broker Dealer
"TE Laird Securities, LLC",A7405,MN,Broker Dealer
"Lampert Capitals Market, Inc.",A7634,NY,Broker Dealer
"Rockfleet Financial Services, Inc.",A6991,FL,Broker Dealer/Municipal Advisor
"Rogan & Associates, Inc.",A6032,FL,Broker Dealer
"Cresap, Inc.",A3600,PA,Broker Dealer
"Jane Street Capital, LLC",A7305,NY,Broker Dealer
"Place Trade Financial, Inc.",A6370,NC,Broker Dealer
Innovation Partners LLC,A7505,NC,Broker Dealer
Investment Placement Group,A3944,CA,Broker Dealer
"Truist Securities, Inc.",A0438,GA,Broker Dealer
"Mariva Capital Markets, LLC",A7638,FL,Broker Dealer
"U.S. Bancorp Advisors, LLC",A1847,CA,Broker Dealer
"Noble Capital Markets, Inc.",A4017,FL,Broker Dealer
"Anchor Bay Securities, LLC",A6521,CA,Broker Dealer
Financial Telesis Inc.,A5874,CA,Broker Dealer
"Oak Tree Securities, Inc.",A3870,CA,Broker Dealer
"CreativeOne Securities, LLC",A7099,KS,Broker Dealer
"Ausdal Financial Partners, Inc.",A0069,IA,Broker Dealer
"LPL Enterprise, LLC",A1963,SC,Broker Dealer
First National Bankers Bank,B0360,LA,Bank Dealer
Santander Securities LLC,A4973,MA,Broker Dealer
"Livingston Securities, LLC",A6945,NY,Broker Dealer
