Firm Name,MSRB ID,State,Registrant Type
Citigroup Global Markets Inc.,A1487,NY,Broker Dealer
"VISION BROKERAGE SERVICES, LLC",A5803,CT,Broker Dealer
Davis Securities LLC,A6982,NY,Broker Dealer
Joseph Grace,A6658,NY,Broker Dealer
Florida Atlantic Secs. Corp.,A5125,FL,Broker Dealer
Pershing Advisor Solutions LLC,A6341,NJ,Broker Dealer
LANDAAS & COMPANY,A5490,WI,Broker Dealer
Liberty Capital Investment Corporation,A3572,OR,Broker Dealer
"Alexander Capital, L.P.",A6968,NJ,Broker Dealer
"SCH Enterprises, Inc.",A6961,IN,Broker Dealer
Shearson Financial Services LLC,A4749,FL,Broker Dealer
"UHY CAPITAL GROUP, LLC",A6025,MI,Broker Dealer
"Celadon Financial Group, LLC",A4831,NJ,Broker Dealer
Ziv Investment Company,A0777,IL,Broker Dealer
"Crews & Associates, Inc.",A0333,AR,Broker Dealer/Municipal Advisor
"CW Securities, LLC",A6304,TN,Broker Dealer
Chelsea Financial Services,A6106,NY,Broker Dealer
"Gradient Securities, LLC",A7139,MN,Broker Dealer
"Shareholders Service Group, LLC",A6333,CA,Broker Dealer
Alamo Capital,A3686,CA,Broker Dealer
"Northern Trust Securities, Inc.",A0654,IL,Broker Dealer
"Fifth Third Securities, Inc.",A1070,OH,Broker Dealer/Municipal Advisor
"OFG Financial Services, Inc.",A4154,KS,Broker Dealer
"First Southern, LLC,",A7472,PR,Broker Dealer
Starshak Winzenburg & Co,A3857,IL,Broker Dealer/Municipal Advisor
"Investments For You, Inc.",A6933,OH,Broker Dealer
"The GMS Group, LLC",A1006,NJ,Broker Dealer/Municipal Advisor
Odeon Capital Group LLC,A7033,NY,Broker Dealer
Stern Brothers & Co.,A2178,MO,Broker Dealer
SECU Brokerage Services,A6969,NC,Broker Dealer
"MEEDER DISTRIBUTION SERVICES, INC.",A7660,OH,Broker Dealer
"NBC Securities, Inc.",A4744,AL,Broker Dealer
"McDermott Investment Services, LLC",A7134,FL,Broker Dealer
Lombard Securities Inc.,A3836,MD,Broker Dealer
First Manhattan Securities LLC,A0488,NY,Broker Dealer
Investment Security Corporation,A7299,CA,Broker Dealer
"Fortune Financial Services, Inc.",A7147,PA,Broker Dealer
"Bates Securities, Inc.",A6121,IL,Broker Dealer
"Carter, Terry & Company, Inc.",A3116,GA,Broker Dealer
"IFP Securities, LLC",A7538,FL,Broker Dealer
"Brown, Lisle/Cummings, Inc.",A0196,RI,Broker Dealer
"Flow Traders U.S., LLC",A7440,NY,Broker Dealer
Tradition Securities and Derivatives LLC,A5644,NY,Broker Dealer
"Principal Securities, Inc.",A4144,IA,Broker Dealer
"KA Associates, LLC",A4274,CA,Broker Dealer
"Insight Securities, Inc.",A0682,IL,Broker Dealer
Federated Securities Corp.,A6214,PA,Broker Dealer
NI Advisors Inc.,A7118,CA,Broker Dealer
"Ladenburg Thalmann & Co., Inc",A0860,NY,Broker Dealer
"Multi-Bank Securities, Inc.",A3678,MI,Broker Dealer/Municipal Advisor
Network 1 Financial Securities,A1761,NJ,Broker Dealer
"Bonds.com, LLC",A6885,NY,Broker Dealer
"First Western Securities, Inc.",A2800,TX,Broker Dealer
"Gill Capital Partners, LLC",A1819,CO,Broker Dealer
2021 Capital,A7589,IL,Broker Dealer
"Bear Creek Securities, LLC",A6759,CO,Broker Dealer
Firstrade Securities Inc.,A5409,NY,Broker Dealer
"Polar Investment Counsel, Inc.",A5489,MN,Broker Dealer
"Brinker Capital Securities, LLC",A5343,PA,Broker Dealer
"ViewTrade Securities, Inc.",A7456,FL,Broker Dealer
DM Kelly & Company,A4743,IA,Broker Dealer
"XML Securities, LLC",A6927,MD,Broker Dealer
"Sage, Rutty & Co., Inc.",A1249,NY,Broker Dealer
Craft Capital Management LLC,A7408,NY,Broker Dealer
"Capitol Securities Management, Inc.",A2210,VA,Broker Dealer
"Sterling, Grace Municipal Sec.",A1306,NJ,Broker Dealer
"Sanford C Bernstein & Co.,LLC",A0125,TN,Broker Dealer
Mountainside Securities LLC,A7520,NJ,Broker Dealer
Global Oak Capital Markets LLC,A7652,SC,Broker Dealer
"Parkland Securities, LLC",A5924,MI,Broker Dealer
Larimer Capital Corporation,A2649,CO,Broker Dealer
"Zions Direct, Inc.",A3962,UT,Broker Dealer
"Invesco Distributors, Inc",A5938,TX,Broker Dealer
Maine Securities Corporation,A2986,ME,Broker Dealer
"Superior Financial Services, Inc.",A5647,WI,Broker Dealer
"MORETON CAPITAL MARKETS, LLC",A7424,UT,Broker Dealer
"RBC Capital Markets, LLC",A4258,NY,Broker Dealer/Municipal Advisor
John Hancock Investment Management Distributors LLC,A6971,MA,Broker Dealer
"Vestech Securities, Inc.",A6210,MO,Broker Dealer
"Southeast Investments, N.C. Inc.",A5111,NC,Broker Dealer
"Anovest Financial Services, Inc.",A6646,GA,Broker Dealer
"Regional Brokers, Inc.",A7665,PA,Broker Dealer
"American Financial Associates, Inc.",A6233,PA,Broker Dealer
"First Tryon Securities, LLC",A4993,NC,Broker Dealer
"Liberty Associates, Inc.",A7500,NY,Broker Dealer
"Columbia Management Investment Distributors, Inc.",A7084,MA,Broker Dealer
Vision Financial Markets LLC,A6815,CT,Broker Dealer
Wall Street Access,A1418,NY,Broker Dealer
"TrustFirst, Inc.",A4764,TN,Broker Dealer
Seaport Global Securities LLC,A5940,NY,Broker Dealer
"Nestlerode & Loy, Inc.",A1038,PA,Broker Dealer
"Access Financial Group, Inc.",A4335,IL,Broker Dealer
ADVANCED STRATEGIES BROKER DEALER LLC,A7577,TN,Broker Dealer
"Paradigm Equities, Inc.",A6117,MI,Broker Dealer
"VOYA INVESTMENTS DISTRIBUTOR, LLC",A7201,CT,Broker Dealer
"Lenox Financial Services, Inc.",A4502,IL,Broker Dealer
"Kuykendall & Schneider, Inc.",A0854,TX,Broker Dealer
"Investment Network, Inc",A6473,OH,Broker Dealer
"STONECREST CAPITAL MARKETS, INC.",A7441,TX,Broker Dealer
"Coldstream Securities, Inc.",A7432,WA,Broker Dealer
"Secure Planning, LLC.",A6456,NH,Broker Dealer
"Monness, Crespi, Hardt & Co.,",A1000,NY,Broker Dealer
"Cetera Wealth Services, LLC",A1673,CA,Broker Dealer
"Heim, Young & Associates, Inc.",A4981,MO,Broker Dealer
"Kingswood CAPITAL PARTNERS, LLC",A7502,CA,Broker Dealer
"1st Discount Brokerage, Inc.",A4779,FL,Broker Dealer
Webull Financial LLC,A7653,NY,Broker Dealer
USAA Investment Services Company,A1711,TX,Broker Dealer
"Valley Financial Management, Inc.",A5733,NY,Broker Dealer
"Kestra Investment Services, LLC",A5273,TX,Broker Dealer
Sturges Company (The),A2359,FL,Broker Dealer/Municipal Advisor
"Sovereign Global Advisors, LLC",A7429,CO,Broker Dealer
"Hantz Financial Services, Inc.",A5525,MI,Broker Dealer
United Bankers' Bank,B0171,MN,Bank Dealer
"American Veterans Group, PBC",A7495,NY,Broker Dealer
Leerink Partners LLC,A5262,MA,Broker Dealer
Richard Brothers Securities,A5754,ME,Broker Dealer
Securities Equity Group,A5444,CA,Broker Dealer
"International Assets Advisory, LLC",A4089,FL,Broker Dealer
Fidelity Brokerage Services LLC,A0463,RI,Broker Dealer
"Ceros Financial Services, Inc.",A7019,MD,Broker Dealer
"Penrod Financial Services, Inc",A3419,MO,Broker Dealer
Sanders Morris LLC,A2908,TX,Broker Dealer
THOMPSON DAVIS & CO. INC.,A6101,VA,Broker Dealer
Carnes Capital Corporation,A7407,FL,Broker Dealer
"HEG Securities, LLC",A7661,CT,Broker Dealer
"Colonial Securities, Inc.",A0296,NY,Broker Dealer
"Loop Capital Markets, L.L.C.",A5139,IL,Broker Dealer
"Signature Estate Securities, LLC.",A6020,CA,Broker Dealer
Dealerweb LLC,A7211,NJ,Broker Dealer
"METRIC FINANCIAL, LLC",A7637,GA,Broker Dealer
"Kiley Partners, Inc.",A4684,NV,Broker Dealer
"Diversified Resources, LLC",A6316,RI,Broker Dealer
"Consolidated Financial Investments, Inc.",A3188,MO,Broker Dealer
Penserra Securities LLC,A6983,CA,Broker Dealer
"JH Darbie & Co., Inc.",A5141,NY,Broker Dealer
Hennion & Walsh Inc.,A3574,NJ,Broker Dealer
Spencer-Winston Securities Co.,A4243,NY,Broker Dealer
BNY Mellon Securities Corporation,A4545,NY,Broker Dealer
KeyBanc Capital Markets Inc.,A0953,OH,Broker Dealer/Municipal Advisor
Wedbush & Co. LLC,A7657,NY,Broker Dealer
First Kentucky Securities Corporation.,A0487,KY,Broker Dealer/Municipal Advisor
"Silver Oak Securities, Incorporated",A5446,TN,Broker Dealer
Benjamin F. Edwards & Company,A6963,MO,Broker Dealer
"Carl M Hennig, Inc.",A0643,WI,Broker Dealer
HENLEY & COMPANY LLC,A6579,NY,Broker Dealer
"Lincoln Investment Planning, LLC",A4178,PA,Broker Dealer
GA Repple & Company,A2729,FL,Broker Dealer
"CastleOak Securities, LP",A6897,NY,Broker Dealer
"CFS Securities, Inc.",A5729,CT,Broker Dealer
"Glendale Securities, Inc.",A7129,CA,Broker Dealer
"GWN Securities, Inc.",A6505,FL,Broker Dealer
Continental Investor Services,A4047,WA,Broker Dealer
"AOS, Inc.",A6577,IL,Broker Dealer
"B. Riley Securities, Inc.",A7477,CA,Broker Dealer
"RetireOne Investment Services, LLC",A7569,KY,Broker Dealer
"Hudson Heritage Capital Management, Inc.",A6254,NY,Broker Dealer
Huntington Investment Company,A2328,OH,Broker Dealer
"IBN Financial Services, Inc.",A6114,NY,Broker Dealer
"BOKF, NA",B0027,OK,Bank Dealer
Pacific Investment Secs. Corp.,A2176,OR,Broker Dealer
Wilson Parker Connally Stephenson Inc,A2197,TX,Broker Dealer
Scottsdale Capital Advisors,A5991,AZ,Broker Dealer
"AMERANT INVESTMENTS, INC.",A6523,FL,Broker Dealer
"CoreCap Investments, LLC",A5325,MI,Broker Dealer
"Robert W Baird & Co., Inc.",A0079,WI,Broker Dealer/Municipal Advisor
FHN Financial Securities Corp,A7363,TN,Broker Dealer
SEI Investments Distribution Co,A5185,PA,Broker Dealer
"Axiom Capital Management Inc,",A3696,NY,Broker Dealer
"Papamarkou Wellner & Company, Inc.",A6730,NY,Broker Dealer
"Hazard & Siegel, Inc.",A0631,NY,Broker Dealer
"Fortune Securities, Inc.",A6692,CA,Broker Dealer
"Blaylock Van, LLC",A6906,NY,Broker Dealer
"Etico Partners, LLC",A6223,NY,Broker Dealer
Emerson Equity LLC,A6524,CA,Broker Dealer
"Cohen & Company Securities, LLC",A7114,NY,Broker Dealer
"Frost Brokerage Services, Inc.",A5240,TX,Broker Dealer
First Heartland Capital Inc,A4455,MO,Broker Dealer
J.P. Morgan Securities LLC,A0105,NY,Broker Dealer
Kahn Brothers LLC,A0806,NY,Broker Dealer
"Drexel Hamilton, LLC",A7115,NY,Broker Dealer
"Robert Blum Municipals, Inc.",A4721,CA,Broker Dealer
"N.E. Private Client, Ltd.",A6841,RI,Broker Dealer
"Beaconsfield Financial Services, Inc.",A1809,PA,Broker Dealer
First Trust Portfolios L.P.,A3898,IL,Broker Dealer
"T Rowe Price Investment Services, Inc.",A2602,MD,Broker Dealer
"Jones Lang LaSalle Securities, LLC",A7377,IL,Broker Dealer/Municipal Advisor
Buell Securities Corp.,A0198,CT,Broker Dealer
"Pariter Securities, LLC",A7028,PR,Broker Dealer
"BHK Securities, LLC",A6680,AL,Broker Dealer
Ingalls & Snyder LLC,A0706,NY,Broker Dealer
"Midland Securities, Ltd.",A3509,TX,Broker Dealer
Invicta Capital LLC,A7540,PA,Broker Dealer
"Sentinel Securities, Inc.",A6013,MA,Broker Dealer
BNP Paribas Securities Corp.,A6172,NY,Broker Dealer
"First Public, LLC",A6497,TX,Broker Dealer
Wharton MidMarket Securities Inc.,A7421,CT,Broker Dealer
"Monex Securities, Inc.",A7493,TX,Broker Dealer
Advantage Securities LLC,A6855,IL,Broker Dealer
IDB Capital Corp.,A6202,NY,Broker Dealer
"LINCOLN DOUGLAS INVESTMENTS, LLC",A7179,OH,Broker Dealer
"Richards, Merrill & Peterson Inc.",A1193,WA,Broker Dealer
"Worth Financial Group, Inc.",A6536,TX,Broker Dealer
Kensington Capital Corp.,A0823,NY,Broker Dealer
"RF Lafferty and Co., Inc.",A0862,NY,Broker Dealer
"Johnstone Brokerage Services, LLC",A7549,TX,Broker Dealer
"Stratos Wealth Securities, LLC",A7481,OH,Broker Dealer
"Victory Capital Services, Inc.",A7534,OH,Broker Dealer
Synovus Securities Inc.,A1715,GA,Broker Dealer/Municipal Advisor
McClurg Capital Corporation,A2389,CA,Broker Dealer
"Jane Street Execution Services, LLC",A7677,NY,Broker Dealer
Midwestern Secs Trading Co LLC,A5508,IL,Broker Dealer
Valor Financial Securities LLC,A7039,FL,Broker Dealer
Alliant Securities Inc.,A0166,WA,Broker Dealer
"EURO-AMERICAN EQUITIES, INC.",A7676,WA,Broker Dealer
"Gar Wood Securities, LLC",A6576,IL,Broker Dealer
"USI Securities, Inc.",A5246,CT,Broker Dealer
"Peak Brokerage Services, LLC",A7188,FL,Broker Dealer
MOMENTUS SECURITIES LLC,A7628,NY,Broker Dealer/Municipal Advisor
"AE Financial Services, LLC",A7551,KS,Broker Dealer
BBVA Securities Inc.,A7035,NY,Broker Dealer
"Alphaledger Markets, Inc",A7541,WA,Broker Dealer
"Municipal Capital Markets Group, Inc.",A5738,TX,Broker Dealer/Municipal Advisor
BC Ziegler and Company,A0775,IL,Broker Dealer/Municipal Advisor
Beech Hill Securities,A3445,NY,Broker Dealer
Dominari Securities LLC,A3290,NY,Broker Dealer
"Wells Fargo Clearing Services, LLC",A3741,MO,Broker Dealer
"Allied Millennial Partners, LLC",A7258,NY,Broker Dealer
"Amerivet Securities, Inc",A7492,NY,Broker Dealer
SG Long & Company,A5476,MT,Broker Dealer
"J K Financial Services, Inc.",A6948,CA,Broker Dealer
Beta Capital Securities LLC,A6568,FL,Broker Dealer
"Crescent Securities Group, Inc.",A6530,TX,Broker Dealer
"Tribal Capital Markets, LLC",A7406,NY,Broker Dealer
Sentinel Brokers Company,A4887,FL,Broker Dealer
"Landolt Securities, Inc.",A3899,IL,Broker Dealer
MarketAxess Corporation,A7097,NY,Broker Dealer
"Dorn & Co., Inc.",A0400,MN,Broker Dealer
"HighTower Securities, LLC",A6950,IL,Broker Dealer
Coordinated Capital Securities,A3020,WI,Broker Dealer
Bankers Life Securities Inc.,A7412,IL,Broker Dealer
"Cabrera Capital Markets, LLC",A4470,IL,Broker Dealer/Municipal Advisor
Seaport Securities Corporation,A2027,NY,Broker Dealer
Potomac Investment Co,A7162,FL,Broker Dealer
"SMBC Nikko Securities America, Inc.",A4418,NY,Broker Dealer
"Hunter Associates, LLC",A4099,PA,Broker Dealer
Herndon Plant Oakley Ltd.,A5316,TX,Broker Dealer
Mizuho Securities USA LLC,A7394,NY,Broker Dealer
"Port Securities, Inc.",A5238,CA,Broker Dealer
"Centaurus Financial, Inc.",A5276,CA,Broker Dealer
"Lesko Securities, Inc.",A5322,NY,Broker Dealer
OBEX Securities LLC,A6457,NY,Broker Dealer
LB Fisher & Company,A2841,TX,Broker Dealer
"CHURCHILL STATESIDE SECURITIES, LLC.",A7525,IL,Broker Dealer/Municipal Advisor
"Huntington Securities, Inc",A0693,OH,Broker Dealer/Municipal Advisor
Altruist Financial LLC,A7562,TX,Broker Dealer
NW Capital Markets Inc.,A2409,NJ,Broker Dealer
AXOS CLEARING LLC,A5948,NE,Broker Dealer
"WesBanco Securities, Inc.",A5098,OH,Broker Dealer
Sycamore Financial Group,A1768,IN,Broker Dealer
"Equity Services, Inc.",A2272,VT,Broker Dealer
Nest Investments BD LLC,A7507,PA,Broker Dealer
"First Honolulu Securities, Inc",A0695,HI,Broker Dealer
"Bank of America, NA  / MSD",B0019,NY,Bank Dealer
Goldman Sachs & Co. LLC,A0576,NY,Broker Dealer/Municipal Advisor
"ACP Securities, LLC",A6746,FL,Broker Dealer
"Horace Mann Investors, Inc.",A6356,IL,Broker Dealer
"Dinosaur Financial Group, LLC",A6392,NY,Broker Dealer
Janney Montgomery Scott LLC,A0785,PA,Broker Dealer
"Harger & Company, Inc.",A4542,LA,Broker Dealer
Jack V Butterfield Invest.,A0215,MI,Broker Dealer
GVC Capital LLC,A6029,CO,Broker Dealer
REVL Securities LLC,A7484,PA,Broker Dealer
"Regulus Financial Group, LLC",A7338,MI,Broker Dealer
Roberts & Ryan Inc.,A2790,NY,Broker Dealer
Frost Bank Capital Markets,B0358,TX,Bank Dealer/Municipal Advisor
"Thrasher and Chambers, Inc",A6652,AR,Broker Dealer
"Prospera Financial Services, Inc.",A0137,TX,Broker Dealer
"Primerica Brokerage Services, Inc.",A7612,GA,Broker Dealer
"Arete Wealth Management, LLC",A6910,IL,Broker Dealer
"The Jeffrey Matthews Financial Group, L.L.C.",A4990,NJ,Broker Dealer
COUNTRY Capital Management Company,A6755,IL,Broker Dealer
"Private Client Services, LLC",A7023,KY,Broker Dealer
Balanz Capital USA LLC,A7655,FL,Broker Dealer
"WBB Securities, LLC",A5984,CA,Broker Dealer
Romano Brothers & Company,A1214,IL,Broker Dealer
Mirae Asset Securities (USA) Inc.,A7465,NY,Broker Dealer
Berthel Fisher & Co.Fin.Serv.,A1765,IA,Broker Dealer
TD Prime Services LLC,A0538,NY,Broker Dealer
"B. B. Graham & Co., Inc.",A5498,CA,Broker Dealer
Intercoastal Capital Markets Inc.,A0117,FL,Broker Dealer
VBC Securities LLC,A1399,NJ,Broker Dealer
"PWA Securities, LLC",A7608,FL,Broker Dealer
Andrew Garrett Inc.,A4131,NY,Broker Dealer
First Asset Financial Inc.,A6753,KS,Broker Dealer
Bloomberg Tradebook LLC,A7572,NY,Broker Dealer
"Backstrom McCarley Berry & Co., LLC",A6298,CA,Broker Dealer/Municipal Advisor
Navy Federal Investment Services LLC,A6737,VA,Broker Dealer
"Robertson Stephens Capital Markets, LLC",A7531,CA,Broker Dealer
"Northwest Investment Advisors, Inc.",A6137,WA,Broker Dealer
LifeMark Securities Corp,A5760,NY,Broker Dealer
"Parsonex Securities, Inc.",A6875,CO,Broker Dealer
National Bank of Canada Financial Inc.,A7506,NY,Broker Dealer
"Harbour Investments, Inc.",A3229,WI,Broker Dealer
"Susquehanna Financial Group, LLLP",A6739,PA,Broker Dealer
"Performance Trust Capital Partners, LLC",A4481,IL,Broker Dealer
Modern Capital Securities Inc.,A6575,NC,Broker Dealer
"Advisors Asset Management, Inc.",A5434,CO,Broker Dealer
"Westminster Fin'l. Secs., Inc.",A2960,OH,Broker Dealer
"Nationwide Securities, LLC",A6153,OH,Broker Dealer
TP ICAP Global Markets Americas LLC,A6419,NY,Broker Dealer
"Heritage Financial Systems, LLC",A6627,PA,Broker Dealer/Municipal Advisor
M.S. Howells & Co.,A5638,AZ,Broker Dealer
Bankers' Bank Investment Dept.,B0368,WI,Bank Dealer
"Falcon Square Capital, LLC",A7303,NC,Broker Dealer
Institutional Bond Network LLC.,A7419,CA,Broker Dealer/Municipal Advisor
"Nations Financial Group, Inc.",A5177,IA,Broker Dealer
"R.M. Stark & Co., Inc.",A4590,FL,Broker Dealer
"Great Point Capital, LLC",A7594,IL,Broker Dealer
FNB America Securities LLC,A7582,PA,Broker Dealer
"POPULAR SECURITIES, LLC",A1555,PR,Broker Dealer
Broad Street Capital Markets LLC,A5618,NJ,Broker Dealer
"Raymond James & Assoc., Inc.",A1172,FL,Broker Dealer/Municipal Advisor
NYLife Securities LLC,A4166,NY,Broker Dealer
"Cascade Investment Group, Inc.",A4434,CO,Broker Dealer
"Trubee Wealth Advisors, Inc.",A1375,NY,Broker Dealer
"Garden State Securities, Inc.",A5399,NJ,Broker Dealer
"Wilmington Capital Securities, LLC",A6874,NY,Broker Dealer
"GIT Investment Services, Inc.",A1519,VA,Broker Dealer
"SoFi Securities, LLC",A7570,CA,Broker Dealer
"Russell Investments Implementation Services, LLC.",A6238,WA,Broker Dealer
"Bluefin Capital Management, LLC",A7644,NY,Broker Dealer
"Wells Fargo Bank, N.A. Municipal Finance Group",B0474,NC,Bank Dealer
"Muriel Siebert & Co., LLC",A1475,NY,Broker Dealer
"Hoopoe Capital Markets, LLC",A7553,MA,Broker Dealer
Bryant Bank Capital Markets Division,B0510,AL,Bank Dealer
"PeachCap Securities, Inc.",A3649,GA,Broker Dealer
MMA Securities LLC,A7542,NY,Broker Dealer
"Carty, Harding & Hearn, Inc.",A0251,TN,Broker Dealer/Municipal Advisor
US Boston Capital Corporation,A5786,MA,Broker Dealer
"Saxony Securities, Inc.",A5916,MO,Broker Dealer
"Mischler Financial Group, Inc.",A4652,CA,Broker Dealer
"Sunbelt Securities, Inc.",A6587,TX,Broker Dealer
Commerce Bank,B0069,MO,Bank Dealer
"Woodmen Financial Services, Inc.",A6071,NE,Broker Dealer
"U.S. Brokerage, Inc.",A5836,OH,Broker Dealer
"Wellington Shields & Co., LLC",A7053,NY,Broker Dealer
"Truist Investment Services, Inc.",A2748,GA,Broker Dealer
"Northwest Financial Group, LLC",A6916,VA,Broker Dealer
Aegis Capital Corp.,A3490,NY,Broker Dealer
Valley National Investments,A2742,PA,Broker Dealer
Bolton Global Capital,A4603,MA,Broker Dealer
TCBI Securities Inc.,A7604,TX,Broker Dealer/Municipal Advisor
"LaSalle St. Securities, LLC",A0859,IL,Broker Dealer
Samuel A. Ramirez & Company Inc.,A1165,NY,Broker Dealer/Municipal Advisor
"WFS, LLC",A6128,MA,Broker Dealer
"BOK Financial Securities, Inc.",A4700,OK,Broker Dealer/Municipal Advisor
"Charles Schwab & Co., Inc.",A1271,TX,Broker Dealer
"Ascensus Broker Dealer Services, LLC",A5709,MA,Broker Dealer
Buckram Securities Ltd.,A6410,NY,Broker Dealer
"Raymond James Financial Services, Inc.",A0717,FL,Broker Dealer
"Zions Bancorporation, N.A /MSD",B0300,UT,Bank Dealer/Municipal Advisor
"RCX Capital Group, LLC",A7592,TX,Broker Dealer
"M Holdings Securities, Inc.",A5560,OR,Broker Dealer
"Wilson-Davis & Co., Inc.",A3338,UT,Broker Dealer
Copper Financial,A7346,KS,Broker Dealer
James T. Borello & Co.,A6140,IL,Broker Dealer
National Financial Services LLC,A1562,MA,Broker Dealer
"FMSbonds, Inc.",A0489,FL,Broker Dealer
ACA/Prudent Investors Planning Corporation,A6224,NJ,Broker Dealer
TD Securities (USA) LLC,A6962,NY,Broker Dealer
"The Oak Ridge Financial Services Group, Inc.",A5073,MN,Broker Dealer
"Lieblong & Associates, Inc.",A5088,AR,Broker Dealer
"Osaic Wealth, Inc.",A3249,AZ,Broker Dealer
"J.W. Cole Financial, Inc.",A6306,FL,Broker Dealer
"Aventura Securities, LLC",A6808,FL,Broker Dealer
"Founders Financial Securities, LLC",A6727,MD,Broker Dealer
"Wells Fargo Securities, LLC",A6366,NC,Broker Dealer
JW Korth & Company,A3698,MI,Broker Dealer
"Sunstreet Securities, LLC",A6834,AZ,Broker Dealer
"Herold & Lantern Investments, inc.",A4253,NY,Broker Dealer
Park Avenue Securities,A5383,NY,Broker Dealer
"Global Brokerage Services, Inc",A4970,MD,Broker Dealer
Western Growers Financial Services,A6230,CA,Broker Dealer
Apex Clearing Corporation,A7272,TX,Broker Dealer
Rothschild Investment LLC,A1231,IL,Broker Dealer
YR Securities LLC,A7434,VA,Broker Dealer
"WestPark Capital, Inc.",A6144,CA,Broker Dealer
CapFinancial Securities LLC,A6439,NC,Broker Dealer
Deutsche Bank Securities Inc.,A0869,NY,Broker Dealer
Manulife John Hancock Brokerage Services LLC,A7059,MA,Broker Dealer
PNC Wealth Management LLC,A6495,PA,Broker Dealer
MCAP LLC,A7442,NY,Broker Dealer
"US Sterling Securities, Inc.",A4467,NY,Broker Dealer
Concorde Investment Services LLC,A7202,MI,Broker Dealer
"Clear Street, LLC",A7494,NY,Broker Dealer
"DMK ADVISOR GROUP, INC",A4908,FL,Broker Dealer
"Calton & Associates, Inc.",A2912,FL,Broker Dealer
"Coker & Palmer, Inc.",A3989,MS,Broker Dealer
"Maplewood Investments, Inc.",A5574,TX,Broker Dealer
SouthState Securities Corp.,A0748,TN,Broker Dealer/Municipal Advisor
"Merrill Lynch, Pierce, Fenner",A0976,NY,Broker Dealer
"American Heritage Secs., Inc.",A4167,OH,Broker Dealer
"Capital Institutional Services, Inc.",A0236,TX,Broker Dealer
"Commerce Brokerage Services, Inc",A4039,MO,Broker Dealer
"Independent Financial Group, LLC",A0606,CA,Broker Dealer
"Dawson James Securities, Inc.",A6548,FL,Broker Dealer
Joseph Gunnar & Co. LLC,A5164,NY,Broker Dealer
"Centennial Securities Co., Inc",A0255,MI,Broker Dealer
Money Concepts Capital Corp,A3326,FL,Broker Dealer
"W&S Brokerage Services, Inc.",A7380,OH,Broker Dealer
"Lebenthal Financial Services, Inc.",A6731,NY,Broker Dealer
"Smith, Moore and Company",A1492,MO,Broker Dealer
"SWBC Investment Services, LLC",A6622,TX,Broker Dealer
"North South Capital, LLC",A6973,IL,Broker Dealer
"Spartan Capital Securities, LLC",A6901,NY,Broker Dealer
Revere Securities LLC,A2725,NY,Broker Dealer
D.A. Davidson & Co.,A0365,MT,Broker Dealer/Municipal Advisor
"TRB Capital Markets, LLC",A7614,TX,Broker Dealer/Municipal Advisor
The Baker Group LP,A0081,OK,Broker Dealer/Municipal Advisor
Gladowsky Capital Mgmt. Corp.,A5315,NY,Broker Dealer
"Caldwell Sutter Capital, Inc.",A7050,CA,Broker Dealer
"Allstate Financial Svcs., LLC",A5706,NE,Broker Dealer
"Insigneo Securities , LLC",A6343,FL,Broker Dealer
"Regal Securities, Inc.",A2014,IL,Broker Dealer
"ME Allison & Co., Inc.",A0028,TX,Broker Dealer/Municipal Advisor
Riedl First Securities Co. of Kansas,A4199,KS,Broker Dealer
"Steward Partners Investment Solutions, LLC",A0149,OR,Broker Dealer
"Mutual of Omaha Investor Services, Inc.",A5798,NE,Broker Dealer
"Capital Synergy Partners, Inc.",A6979,CA,Broker Dealer
"Planned Financial Programs, Inc.",A6377,NY,Broker Dealer
"Abacus Investments, Inc.",A4454,WI,Broker Dealer
"Voya Financial Advisors, Inc.",A3389,CT,Broker Dealer
"Wulff, Hansen & Company",A0763,CA,Broker Dealer/Municipal Advisor
Searle & Co.,A1776,CT,Broker Dealer
"CINCAP INVESTMENT GROUP, LLC",A7576,OH,Broker Dealer
"Ashton Thomas Securities, LLC.",A4676,NY,Broker Dealer
"Inverness Securities, LLC",A6522,OH,Broker Dealer
CNR Securities LLC,A2781,NY,Broker Dealer
Velocity Clearing LLC,A7581,NJ,Broker Dealer
Ally Invest Securities LLC,A6803,NC,Broker Dealer
Sisung Securities Corporation,A3587,LA,Broker Dealer/Municipal Advisor
"City National Securities, Inc.",A5564,CA,Broker Dealer
"MSEC, LLC",A7142,KS,Broker Dealer
Snowden Account Services LLC,A7307,NY,Broker Dealer
Westco Investment Corp.,A7392,NY,Broker Dealer
B. Riley Wealth Management,A0877,TN,Broker Dealer
Cary Street Partners LLC,A6822,VA,Broker Dealer
"State Street Global Markets, LLC",A7460,MA,Broker Dealer
Barrett & Company,A0097,RI,Broker Dealer
Empire Asset Management Company,A6852,NY,Broker Dealer
Integrated Financial Planning Services,A6541,BW,Broker Dealer
"Laidlaw and Company, UK, Ltd",A6038,NY,Broker Dealer
"Bley Investment Group, Inc.",A4229,TX,Broker Dealer
"Sauer, Dazey Investment Company",A3653,MO,Broker Dealer
"Kimbank Capital Group, LLC",A7666,IL,Broker Dealer
"Portfolio Resources Group, Inc.",A6097,FL,Broker Dealer
New Firm 1,A9998,CA,Broker Dealer
New Firm 2,A9997,NY,Broker Dealer
New Firm 3,A9996,TX,Broker Dealer/Municipal Advisor
New Firm 4,A9995,FL,Broker Dealer
New Firm 5,A9994,IL,Broker Dealer
